¿Cómo de probable considerarías usar nuestro producto como una opción para llevar comida fuera de casa?,¿Cuál de estas características específicas valorarías más en un envase de alimentos con indicador de frescura?,Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Novedoso],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Creativo],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Atractivo],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Creíble],¿Estarías dispuesto/a a pagar un precio ligeramente más alto por un envase de alimentos con indicador de frescura en comparación con envases convencionales?,¿Cuánto dinero extra estarías dispuesto a pagar?,¿Con qué frecuencia cocinas en casa durante la semana?,¿Con qué frecuencia consumes alimentos fuera de casa?,¿Te gustaría utilizar un envase de alimentos con un indicador de frescura para reducir el desperdicio?,¿Cómo de importante es para ti la sostenibilidad medioambiental al elegir productos alimenticios?,¿Qué tan importante es para ti la frescura de los alimentos que consumes?,¿Has buscado activamente formas de reducir el desperdicio de alimentos en tu vida diaria?,¿Cuál es tu edad?,¿Cuál es tu género?,¿Qué nivel de renta media anual tiene tu hogar? (30.552€ según datos del INE),¿Tienes alguna sugerencia o comentario adicional sobre un envase de alimentos con indicador de frescura?,¿Cuántos dedos tiene por lo general una persona en una mano?,Puntuación,¿Qué tamaño de envase considerarían más conveniente para sus necesidades?,¿Tienen preocupaciones sobre la durabilidad o efectividad del indicador de frescura?,¿Qué tan importante sería para ustedes poder personalizar el indicador de frescura según sus preferencias individuales?,¿Qué tan importante ve usted la incorporación del código QR para poder comprobar la frescura de los alimentos sin necesidad de descargarse la aplicación?
5,"Tamaño adecuado para porciones individuales, Diseño atractivo y practico, Capacidad de reutilización como tupper, Fácil activación del indicador de frescura",Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",1,1,Sí,21,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Poco importante,Muy importante
3,"Tamaño adecuado para porciones individuales, Materiales ecoamigables/reciclables, Capacidad de reutilización como tupper",Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Varias veces a la semana,"Sí, probablemente",1,2,No,22,Femenino,Por debajo de la media,,5,,Pequeño (500ml),Mucha preocupación,Algo importante,Algo importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Pocas veces a la semana,"Sí, definitivamente",4,1,Sí,18,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Poco importante,Muy importante
3,"Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Más de 7€,Varias veces a la semana,Varias veces a la semana,No estoy seguro/a,3,2,No,23,Femenino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Materiales ecoamigables/reciclables",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 0€ y 2,99€",Diariamente,Diariamente,"Sí, probablemente",1,1,Sí,23,Femenino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Poco importante,Muy importante
3,Fácil activación del indicador de frescura,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante en desacuerdo,Sí,Más de 7€,Diariamente,Pocas veces a la semana,"Sí, definitivamente",3,4,Sí,21,Masculino,Por debajo de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Poco importante
2,"Diseño atractivo y practico, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Varias veces a la semana,Varias veces a la semana,"Sí, probablemente",3,1,Sí,19,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
4,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,No,,Diariamente,Pocas veces a la semana,No estoy seguro/a,4,2,No,18,Femenino,Por encima de la media,,5,,Pequeño (500ml),No me importa,Poco importante,Algo importante
4,"Tamaño adecuado para porciones individuales, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Diseño atractivo y practico",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Nunca,"Sí, probablemente",2,4,No,20,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Poco importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",3,2,Sí,18,Masculino,Por encima de la media,,5,,Pequeño (500ml),Alguna preocupación,Muy importante,Algo importante
2,Capacidad de reutilización como tupper,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",1,1,Sí,19,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
2,"Capacidad de reutilización como tupper, Fácil activación del indicador de frescura, Tamaño adecuado para porciones individuales",Bastante de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Sí,"Entre 5€ y 6,99€",Varias veces a la semana,Varias veces a la semana,"Sí, probablemente",3,1,No,21,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
3,Capacidad de reutilización como tupper,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Nunca,No estoy seguro/a,3,3,No,36,Masculino,Por debajo de la media,,5,,Mediano (1000ml),Mucha preocupación,Muy importante,Algo importante
1,Capacidad de reutilización como tupper,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Sí,"Entre 3€ y 4,99€",Varias veces a la semana,Varias veces a la semana,"Sí, definitivamente",3,1,No,20,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
4,"Tamaño adecuado para porciones individuales, Fácil activación del indicador de frescura, Diseño atractivo y practico",Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Más de 7€,Diariamente,Varias veces a la semana,"No, probablemente",3,4,No,22,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Poco importante
4,"Materiales ecoamigables/reciclables, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Bastante de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,No,,Diariamente,Varias veces a la semana,"Sí, probablemente",4,3,Sí,21,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Algo importante
2,"Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper, Materiales ecoamigables/reciclables",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Varias veces a la semana,"Sí, probablemente",1,2,No,20,Femenino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Algo importante,Muy importante
1,"Capacidad de reutilización como tupper, Tamaño adecuado para porciones individuales",Bastante de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",2,2,Sí,20,Masculino,Por encima de la media,,5,,Grande (2000ml),No me importa,Poco importante,Algo importante
2,"Tamaño adecuado para porciones individuales, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Bastante de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Más de 7€,Varias veces a la semana,Pocas veces a la semana,"Sí, definitivamente",4,1,No,21,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Poco importante
2,"Diseño atractivo y practico, Tamaño adecuado para porciones individuales",Bastante de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Diariamente,"Sí, probablemente",2,1,Sí,50,Femenino,Alrededor de la media,,5,,Mediano (1000ml),No me importa,Algo importante,Poco importante
3,"Materiales ecoamigables/reciclables, Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper",Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,No,,Diariamente,Varias veces a la semana,"Sí, probablemente",4,4,No,21,Masculino,Por debajo de la media,,5,,Mediano (1000ml),No me importa,Poco importante,Muy importante
5,"Materiales ecoamigables/reciclables, Capacidad de reutilización como tupper, Fácil activación del indicador de frescura",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Sí,"Entre 0€ y 2,99€",Varias veces a la semana,Varias veces a la semana,"Sí, probablemente",5,5,Sí,21,Femenino,Por debajo de la media,,5,,Pequeño (500ml),Alguna preocupación,Muy importante,Muy importante
4,"Tamaño adecuado para porciones individuales, Fácil activación del indicador de frescura",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, definitivamente",3,5,Sí,21,Femenino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Algo importante,Muy importante
1,"Tamaño adecuado para porciones individuales, Materiales ecoamigables/reciclables, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Varias veces a la semana,"Sí, definitivamente",1,1,Sí,21,Femenino,Por encima de la media,,5,,Mediano (1000ml),Mucha preocupación,Algo importante,Muy importante
1,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,No,,Diariamente,Pocas veces a la semana,No estoy seguro/a,2,3,Sí,21,Femenino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
3,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Tamaño adecuado para porciones individuales",Bastante de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Bastante en desacuerdo,No,,Diariamente,Varias veces a la semana,No estoy seguro/a,2,1,No,21,Masculino,Por encima de la media,,5,,Mediano (1000ml),Mucha preocupación,Algo importante,Muy importante
5,Fácil activación del indicador de frescura,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,Más de 7€,Varias veces a la semana,Pocas veces a la semana,"Sí, probablemente",2,1,No,21,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
5,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, definitivamente",4,4,Sí,21,Masculino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Muy importante,Muy importante
5,"Materiales ecoamigables/reciclables, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,No,,Diariamente,Pocas veces a la semana,No estoy seguro/a,1,1,Sí,38,Femenino,Alrededor de la media,,5,,Pequeño (500ml),No me importa,Poco importante,Poco importante
2,"Que silla de cristal o cerámica, por tema de intoxicación  minerales  ",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,No,,Diariamente,Pocas veces a la semana,"Sí, probablemente",2,1,Sí,36,Femenino,Alrededor de la media,No,5,,Mediano (1000ml),Mucha preocupación,Muy importante,Muy importante
3,"Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,No,,Diariamente,Diariamente,"Sí, probablemente",3,5,Sí,22,Femenino,Por encima de la media,,5,,Pequeño (500ml),Alguna preocupación,Poco importante,Poco importante
3,"Diseño atractivo y practico, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Sí,Más de 7€,Diariamente,Pocas veces a la semana,"Sí, probablemente",3,4,No,24,Masculino,Alrededor de la media,,5,,Grande (2000ml),Alguna preocupación,Muy importante,Muy importante
2,"Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Varias veces a la semana,Varias veces a la semana,"Sí, definitivamente",1,1,No,21,Femenino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
2,Diseño atractivo y practico,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Varias veces a la semana,"Sí, definitivamente",2,1,Sí,21,Femenino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
3,Diseño atractivo y practico,Bastante en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",4,5,No,20,Masculino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Algo importante,Algo importante
4,Fácil activación del indicador de frescura,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Diariamente,"Sí, probablemente",2,5,No,18,Masculino,Alrededor de la media,Filets,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Algo importante
2,Capacidad de reutilización como tupper,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante en desacuerdo,No,,Diariamente,Varias veces a la semana,"Sí, probablemente",4,1,Sí,21,Masculino,Alrededor de la media,,5,,Mediano (1000ml),No me importa,Poco importante,Muy importante
3,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Tamaño adecuado para porciones individuales",Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante en desacuerdo,No,,Diariamente,Pocas veces a la semana,"Sí, probablemente",4,3,Sí,25,Femenino,Por debajo de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
